Id;Designator;Package;Quantity;Designation;Supplier and ref
1;JP2;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;HLine2_PC_C5;
2;JP1;SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm;1;HLine1_FLAG_C4;
3;J3;DSUB-15_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm;1;Parallel_DB15F;
4;HOLE3,HOLE4,HOLE2,HOLE1;MountingHole_3.2mm_M3_Pad_Via;4;MountingHole_3.2mm_M3_Pad_Via;
5;Y1;Crystal_HC18-U_Vertical;1;16Mhz;
6;U2;SOIC-14_3.9x8.7mm_P1.27mm;1;74LS06;
7;U1;TQFP-32_7x7mm_P0.8mm;1;ATmega32U2-AU;
8;R8,R7,R6,R5,R4;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;5;100K;
9;R3;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;680R;
10;R2,R1;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;22R;
11;J2;C64_Original_DIN-6_Circular;1;C64 Serial;
12;J1;USB_Mini-B_Lumberg_2486_01_Horizontal;1;USB_B_Mini;
13;D1;LED_D3.0mm;1;LED;
14;C6,C5,C4;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;3;100nF;
15;C3;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;1uF;
16;C2,C1;C_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;22pF;
